version,topology,query_type,index_size,timeout_ms,iter,observed_ms,timed_out,error
old,sa,SEARCH,100000,1000,26,119.464,0,
old,sa,SEARCH,100000,1000,27,127.588,0,
old,sa,SEARCH,100000,1000,28,119.471,0,
old,sa,SEARCH,100000,1000,29,119.221,0,
old,sa,SEARCH,100000,1000,30,118.374,0,
old,sa,SEARCH,100000,1000,31,120.297,0,
old,sa,SEARCH,100000,1000,32,120.064,0,
old,sa,SEARCH,100000,1000,33,120.242,0,
old,sa,SEARCH,100000,1000,34,121.902,0,
old,sa,SEARCH,100000,1000,35,121.159,0,
old,sa,SEARCH,100000,1000,36,120.920,0,
old,sa,SEARCH,100000,1000,37,127.349,0,
old,sa,SEARCH,100000,1000,38,121.488,0,
old,sa,SEARCH,100000,1000,39,122.244,0,
old,sa,SEARCH,100000,1000,40,121.289,0,
old,sa,SEARCH,100000,1000,41,120.169,0,
old,sa,SEARCH,100000,1000,42,119.479,0,
old,sa,SEARCH,100000,1000,43,120.419,0,
old,sa,SEARCH,100000,1000,44,119.205,0,
old,sa,SEARCH,100000,1000,45,117.810,0,
old,sa,SEARCH,100000,1000,46,123.995,0,
old,sa,SEARCH,100000,1000,47,119.971,0,
old,sa,SEARCH,100000,1000,48,119.981,0,
old,sa,SEARCH,100000,1000,49,120.383,0,
old,sa,SEARCH,100000,2000,0,120.030,0,
old,sa,SEARCH,100000,2000,1,120.669,0,
old,sa,SEARCH,100000,2000,2,118.023,0,
old,sa,SEARCH,100000,2000,3,119.488,0,
old,sa,SEARCH,100000,2000,4,120.857,0,
old,sa,SEARCH,100000,2000,5,120.839,0,
old,sa,SEARCH,100000,2000,6,126.880,0,
old,sa,SEARCH,100000,2000,7,120.224,0,
old,sa,SEARCH,100000,2000,8,119.579,0,
old,sa,SEARCH,100000,2000,9,120.490,0,
old,sa,SEARCH,100000,2000,10,119.615,0,
old,sa,SEARCH,100000,2000,11,119.013,0,
old,sa,SEARCH,100000,2000,12,119.457,0,
old,sa,SEARCH,100000,2000,13,120.192,0,
old,sa,SEARCH,100000,2000,14,119.204,0,
old,sa,SEARCH,100000,2000,15,127.730,0,
old,sa,SEARCH,100000,2000,16,119.444,0,
old,sa,SEARCH,100000,2000,17,119.130,0,
old,sa,SEARCH,100000,2000,18,116.997,0,
old,sa,SEARCH,100000,2000,19,126.871,0,
old,sa,SEARCH,100000,2000,20,119.818,0,
old,sa,SEARCH,100000,2000,21,120.242,0,
old,sa,SEARCH,100000,2000,22,120.367,0,
old,sa,SEARCH,100000,2000,23,119.574,0,
