size,workers,selectivity,fields,contender,matches_mean,k,window,qps,mean_ms,p50_ms,p90_ms,p99_ms,p999_ms
10000,6,selective,none,hybrid_linear,2.80078125,10,20,4324.230144070581,0.2312550365459174,0.22399998852051795,0.2515830972697586,0.4165538324741624,0.6896745922858842
10000,6,selective,none,hybrid_rrf,2.80078125,10,20,3880.0242372912053,0.25773034879239276,0.25487501989118755,0.30140409944579005,0.36396606941707416,0.7140106483711882
10000,6,selective,none,search_branch,2.80078125,10,20,14191.521057371598,0.07046461023855954,0.06791698979213834,0.07816611905582249,0.12812959554139514,0.1650058088125673
10000,6,selective,none,vsim_branch,2.80078125,10,20,5790.834911188222,0.17268667046058303,0.17104099970310926,0.19804532639682293,0.2247159177204592,0.2932610210264124
10000,6,selective,title+text,hybrid_linear,2.80078125,10,20,4025.019120837271,0.24844602472148836,0.2455835056025535,0.2684580802451819,0.32325126638170326,0.3531009563594162
10000,6,selective,title+text,hybrid_rrf,2.80078125,10,20,3805.5075578916935,0.2627770369096349,0.2549579949118197,0.29928340809419746,0.37904367141891265,0.659528473857796
10000,6,selective,title+text,search_branch,2.80078125,10,20,10272.197195811596,0.09735015605110675,0.09250000584870577,0.110417022369802,0.2342599799158049,0.2810843241168189
10000,6,selective,title+text,vsim_branch,2.80078125,10,20,4118.260607448659,0.2428209614008665,0.24487500195391476,0.2725912840105593,0.31237544084433466,0.36796073324512746
10000,6,medium,none,hybrid_linear,1055.02734375,100,200,980.4214323754894,1.019969542666028,1.0032080172095448,1.1380670184735209,1.3310299487784498,1.516307530051566
10000,6,medium,none,hybrid_rrf,1055.02734375,100,200,967.6359536014129,1.0334465108268585,1.0064165107905865,1.1836588848382235,1.373462955234572,1.60743248666405
10000,6,medium,none,search_branch,1055.02734375,100,200,1821.0173828716115,0.5491435773243817,0.5416039784904569,0.6611131189856678,0.8233718859264618,0.9367552653420728
10000,6,medium,none,vsim_branch,1055.02734375,100,200,2441.334043727287,0.4096121145606351,0.40531251579523087,0.4710166831500828,0.5435112561099229,0.667176178540105
10000,6,medium,title+text,hybrid_linear,1055.02734375,100,200,787.935955405766,1.2691386820709643,1.2466669722925872,1.4400919899344444,1.6660591016989197,1.823683804192118
10000,6,medium,title+text,hybrid_rrf,1055.02734375,100,200,790.7743250570919,1.2645832929993048,1.2403540022205561,1.4401583990547806,1.7102933139540244,1.88739339821041
10000,6,medium,title+text,search_branch,1055.02734375,100,200,1574.8446709156906,0.6349832580114404,0.6248124991543591,0.7517288962844759,0.9528600727207952,1.1489659307408246
10000,6,medium,title+text,vsim_branch,1055.02734375,100,200,2115.0764327961874,0.472796152656277,0.46475001727230847,0.5388833000324667,0.6075885432073845,0.6807466613245275
10000,6,broad,none,hybrid_linear,10000.0,1000,2000,108.89721348158082,9.18297142809024,9.067770995898172,10.474058310501277,12.14759717753622,22.713488418899974
10000,6,broad,none,hybrid_rrf,10000.0,1000,2000,116.4811485596719,8.585080181345498,8.340708503965288,9.485199669143185,11.277212540153407,12.296749234315973
10000,6,broad,none,search_branch,10000.0,1000,2000,414.43157873863333,2.412943538336549,2.4046875187195837,3.3045955235138535,4.042348412331194,4.661932541232204
10000,6,broad,none,vsim_branch,10000.0,1000,2000,166.97861186251052,5.988790952600539,5.855625029653311,6.653462763642892,7.22024300484918,7.743610940349768
10000,6,broad,title+text,hybrid_linear,10000.0,1000,2000,99.12822525209202,10.08794414967997,9.695145505247638,11.479413125198334,13.245465970830988,15.01955530000851
10000,6,broad,title+text,hybrid_rrf,10000.0,1000,2000,98.29385544617027,10.17357591134108,9.79439599905163,11.613070481689647,13.42906915466301,14.737285152834424
10000,6,broad,title+text,search_branch,10000.0,1000,2000,346.2615989754232,2.8879898982704617,2.8333959926385432,3.977566718822345,5.1764736912446,6.325677640677915
10000,6,broad,title+text,vsim_branch,10000.0,1000,2000,156.5438317181742,6.387987243089204,6.364625529386103,6.976616283645853,7.607154055149292,8.422249496739985
100000,0,selective,none,hybrid_linear,8.0390625,10,20,2858.50959884178,0.34983265419335413,0.3463955072220415,0.3931332961656153,0.4642957024043425,0.5331250550807454
100000,0,selective,none,hybrid_rrf,8.0390625,10,20,3725.9590158282317,0.2683872784837149,0.26504197739996016,0.3091669699642807,0.37562538927886635,0.4173341774148867
100000,0,selective,none,search_branch,8.0390625,10,20,14343.82205560745,0.06971642537973821,0.06293749902397394,0.0857667124364525,0.15125164762139318,0.1632131664664493
100000,0,selective,none,vsim_branch,8.0390625,10,20,4803.41660823294,0.20818514852241302,0.20516698714345694,0.2494211308658123,0.30081572767812703,0.35762526647886267
100000,0,selective,title+text,hybrid_linear,8.0390625,10,20,3310.2091269807606,0.30209571711020544,0.2981250290758908,0.3475914301816374,0.40988375665619947,0.4644216491724374
100000,0,selective,title+text,hybrid_rrf,8.0390625,10,20,3316.426163450528,0.3015294026505823,0.29643697780556977,0.3469244227744639,0.42189665196929077,0.4914485799381574
100000,0,selective,title+text,search_branch,8.0390625,10,20,12509.938298577561,0.07993644541905572,0.06716701318509877,0.11313746217638253,0.22012501722201705,0.24597879278008317
100000,0,selective,title+text,vsim_branch,8.0390625,10,20,3897.8878340070582,0.2565491985878907,0.2561455185059458,0.2882080152630806,0.3308642795309417,0.38380648987368066
100000,0,medium,none,hybrid_linear,9260.43359375,100,200,324.04061277576636,3.0860329248049916,2.992624504258856,3.8293165678624064,5.1224287541117475,6.239044493238908
100000,0,medium,none,hybrid_rrf,9260.43359375,100,200,322.04206906808855,3.10518437201002,3.0205619987100363,3.8666160951834168,5.15368512773419,6.220379582140629
100000,0,medium,none,search_branch,9260.43359375,100,200,633.637132723587,1.5781903369546246,1.4862085226923227,2.1126749925315376,3.198629698017611,3.8333392849890613
100000,0,medium,none,vsim_branch,9260.43359375,100,200,1572.573614597453,0.6359002788279516,0.6464169709943235,0.7600964163430035,0.8590025216108187,1.0152953640208673
100000,0,medium,title+text,hybrid_linear,9260.43359375,100,200,308.7132581953733,3.2392518735529543,3.1460419995710254,4.016474430682138,5.2187549823429435,6.261047789128524
100000,0,medium,title+text,hybrid_rrf,9260.43359375,100,200,312.63074846850236,3.1986616956225284,3.114999970421195,3.9230877766385674,5.064787353621791,5.738219012157063
100000,0,medium,title+text,search_branch,9260.43359375,100,200,604.3322815821971,1.6547188202190835,1.5573959972243756,2.2029249812476337,3.2978191354777646,4.316754339903255
100000,0,medium,title+text,vsim_branch,9260.43359375,100,200,1423.6821873809022,0.7024039556466354,0.7147710130084306,0.8265000069513917,0.9268015617271883,1.008506536833012
100000,0,broad,none,hybrid_linear,100000.0,1000,2000,33.68573045636426,29.686160473657463,28.99249948677607,35.13274642173201,43.366524158045635,52.37631717318511
100000,0,broad,none,hybrid_rrf,100000.0,1000,2000,33.93220603461188,29.47052717350501,28.701228991849348,35.05712977494113,42.617008776869625,53.837381845165666
100000,0,broad,none,search_branch,100000.0,1000,2000,89.55503453336821,11.166318065874899,10.413374984636903,15.955266694072632,22.00718248903284,34.68825810041766
100000,0,broad,none,vsim_branch,100000.0,1000,2000,123.77310889345782,8.079299364297185,8.135896030580625,9.000632824609056,9.811877063475546,10.472664694301793
100000,0,broad,title+text,hybrid_linear,100000.0,1000,2000,31.15614790140359,32.09639404603513,31.421645486261696,37.77790387975983,44.91009751916861,58.29299717518737
100000,0,broad,title+text,hybrid_rrf,100000.0,1000,2000,31.029503236440895,32.22739314838933,31.417124992003664,38.09415855794214,45.789671249803995,55.16916019754783
100000,0,broad,title+text,search_branch,100000.0,1000,2000,82.05686926650601,12.186670158621078,11.294291500234976,17.84722533775493,25.555738249677226,36.63934378663569
100000,0,broad,title+text,vsim_branch,100000.0,1000,2000,118.15803266093097,8.46324179135263,8.465958526358008,9.520128922304139,10.230868385988288,10.744776784034917
100000,6,selective,none,hybrid_linear,8.0390625,10,20,2932.5245864182953,0.34100310859503224,0.3402919974178076,0.3939253219868988,0.4422924271784723,0.5106821930967302
100000,6,selective,none,hybrid_rrf,8.0390625,10,20,2760.0251865622477,0.36231553424537805,0.3608330152928829,0.4020830849185586,0.44796231901273126,0.49183460726635564
100000,6,selective,none,search_branch,8.0390625,10,20,13096.920075498663,0.07635382931524266,0.06954197306185961,0.09290003217756745,0.15937496267724782,0.17930229631019987
100000,6,selective,none,vsim_branch,8.0390625,10,20,4913.849481019449,0.20350643703325963,0.20168747869320214,0.23583299480378628,0.2734194829827174,0.3356691992958081
100000,6,selective,title+text,hybrid_linear,8.0390625,10,20,2531.901922433922,0.39496000660195324,0.393062480725348,0.434279243927449,0.4923849948681889,0.5574177942471582
