size,workers,fields,contender,matches_mean,balance_ratio,balanced,k,window,qps,mean_ms,p50_ms,p90_ms,p99_ms,p999_ms
100000,2,none,vsim_branch,1689.3125,1.07,True,10,20,4347.975963227529,0.22999207181856035,0.22724998416379094,0.27120800223201513,0.32642280915752064,0.37695970054483074
100000,2,title+text,hybrid_linear,1689.3125,1.07,True,10,20,2199.114908919075,0.45472839820431543,0.4314999678172171,0.5422127898782494,0.8107101795030768,0.9464642554521574
100000,2,title+text,hybrid_rrf,1689.3125,1.07,True,10,20,2066.7833571554656,0.4838436484104022,0.4565415147226304,0.5871661007404327,0.8652633405290547,1.0899764969362913
100000,2,title+text,search_branch,1689.3125,1.07,True,10,20,2744.196884651051,0.36440534044522793,0.34587501431815326,0.4281869099941105,0.6067117460770534,0.7357367805088929
100000,2,title+text,vsim_branch,1689.3125,1.07,True,10,20,3705.311329864246,0.2698828549007885,0.26545795844867826,0.31689169700257486,0.36971737281419353,0.42879998433636685
100000,2,none,hybrid_linear,5626.5625,1.03,True,50,100,1029.5163454141727,0.9713298914139159,0.8907290175557137,1.265424682060257,1.6895528562599795,2.089068703178788
100000,2,none,hybrid_rrf,5626.5625,1.03,True,50,100,1017.9747903545825,0.9823425977490843,0.9041874727699906,1.301050011534244,1.7747908498859042,2.089846078772126
100000,2,none,search_branch,5626.5625,1.03,True,50,100,1944.3248369427324,0.5143173511954956,0.40004149195738137,0.7271292328368872,1.0029231081716719,1.3965023427736274
100000,2,none,vsim_branch,5626.5625,1.03,True,50,100,2348.8486516762205,0.4257405002601445,0.42870797915384173,0.5048414051998407,0.6001026218291377,0.6693034996278607
100000,2,title+text,hybrid_linear,5626.5625,1.03,True,50,100,892.5452898117644,1.1203913251403719,1.0452919523231685,1.4388791867531836,1.9291884807171304,2.3276821198524007
100000,2,title+text,hybrid_rrf,5626.5625,1.03,True,50,100,906.7703702901746,1.1028150375932455,1.0330834775231779,1.4239170122891665,1.9226792827248593,2.3990381559706373
100000,2,title+text,search_branch,5626.5625,1.03,True,50,100,1619.4762256710812,0.6174835938611067,0.5276250012684613,0.9076459100469948,1.19130047503859,1.530032166861944
