version,topology,query_type,index_size,timeout_ms,n,timeout_frac,observed_mean_ms,observed_p50_ms,observed_p95_ms,observed_p99_ms,observed_max_ms,overshoot_mean_ms,overshoot_p50_ms,overshoot_p95_ms,overshoot_p99_ms,overshoot_max_ms
old,cluster3,HYBRID,1000000,50,50,0.400,47.86,46.17,51.05,51.28,51.28,0.37,0.00,1.05,1.28,1.28
old,cluster3,HYBRID,1000000,500,50,0.000,49.61,46.42,58.22,60.46,60.46,0.00,0.00,0.00,0.00,0.00
old,cluster3,SEARCH,100000,100,50,0.020,152.62,150.06,161.64,248.22,248.22,52.62,50.06,61.64,148.22,148.22
old,cluster3,SEARCH,100000,1000,50,0.000,149.06,147.92,157.19,158.83,158.83,0.00,0.00,0.00,0.00,0.00
old,cluster3,SEARCH,100000,2000,50,0.000,150.66,149.31,161.42,167.56,167.56,0.00,0.00,0.00,0.00,0.00
old,cluster3,SEARCH,100000,50,50,1.000,65.17,56.73,71.64,251.62,251.62,15.17,6.73,21.64,201.62,201.62
old,cluster3,SEARCH,100000,500,50,0.000,149.65,148.84,158.07,166.79,166.79,0.00,0.00,0.00,0.00,0.00
old,cluster3,SEARCH,1000000,100,50,0.140,177.15,182.86,192.79,286.03,286.03,77.15,82.86,92.79,186.03,186.03
old,cluster3,SEARCH,1000000,1000,50,0.000,185.25,182.80,193.32,242.83,242.83,0.00,0.00,0.00,0.00,0.00
old,cluster3,SEARCH,1000000,2000,50,0.000,182.71,181.58,191.57,199.41,199.41,0.00,0.00,0.00,0.00,0.00
old,cluster3,SEARCH,1000000,50,50,1.000,60.42,59.77,74.56,75.56,75.56,10.42,9.77,24.56,25.56,25.56
old,cluster3,SEARCH,1000000,500,50,0.000,184.09,182.20,193.70,202.02,202.02,0.00,0.00,0.00,0.00,0.00
old,sa,AGGREGATE,100000,100,50,1.000,185.10,184.51,198.77,201.82,201.82,85.10,84.51,98.77,101.82,101.82
old,sa,AGGREGATE,100000,1000,50,0.000,668.38,666.45,678.44,728.94,728.94,0.00,0.00,0.00,0.00,0.00
old,sa,AGGREGATE,100000,2000,50,0.000,661.45,661.73,669.52,675.06,675.06,0.00,0.00,0.00,0.00,0.00
old,sa,AGGREGATE,100000,50,50,1.000,169.83,165.60,190.58,205.81,205.81,119.83,115.60,140.58,155.81,155.81
old,sa,AGGREGATE,100000,500,50,0.000,663.23,662.83,676.47,686.30,686.30,163.23,162.83,176.47,186.30,186.30
old,sa,AGGREGATE,1000000,100,50,1.000,2339.49,2325.49,2408.03,2415.40,2415.40,2239.49,2225.49,2308.03,2315.40,2315.40
old,sa,AGGREGATE,1000000,1000,50,1.000,2337.99,2327.81,2395.78,2428.05,2428.05,1337.99,1327.81,1395.78,1428.05,1428.05
old,sa,AGGREGATE,1000000,2000,50,1.000,2340.74,2331.74,2412.92,2419.64,2419.64,340.74,331.74,412.92,419.64,419.64
old,sa,AGGREGATE,1000000,50,50,1.000,75.62,75.78,77.08,77.43,77.43,25.62,25.78,27.08,27.43,27.43
old,sa,AGGREGATE,1000000,500,50,1.000,2339.49,2327.43,2414.67,2424.68,2424.68,1839.49,1827.43,1914.67,1924.68,1924.68
old,sa,HYBRID,100000,100,50,0.000,5.05,5.05,5.30,6.33,6.33,0.00,0.00,0.00,0.00,0.00
old,sa,HYBRID,100000,1000,50,0.000,4.94,4.92,5.20,5.32,5.32,0.00,0.00,0.00,0.00,0.00
old,sa,HYBRID,100000,2000,50,0.000,5.04,5.07,5.22,5.29,5.29,0.00,0.00,0.00,0.00,0.00
old,sa,HYBRID,100000,50,50,0.000,5.66,5.09,9.19,12.23,12.23,0.00,0.00,0.00,0.00,0.00
old,sa,HYBRID,100000,500,50,0.000,4.98,4.90,5.59,5.84,5.84,0.00,0.00,0.00,0.00,0.00
old,sa,HYBRID,1000000,100,50,0.380,99.86,100.42,100.72,100.79,100.79,0.31,0.42,0.72,0.79,0.79
old,sa,HYBRID,1000000,1000,50,0.000,102.27,102.29,103.76,109.23,109.23,0.00,0.00,0.00,0.00,0.00
old,sa,HYBRID,1000000,2000,50,0.000,103.10,103.28,104.05,108.75,108.75,0.00,0.00,0.00,0.00,0.00
old,sa,HYBRID,1000000,50,50,1.000,50.41,50.37,50.60,51.26,51.26,0.41,0.37,0.60,1.26,1.26
old,sa,HYBRID,1000000,500,50,0.000,101.35,101.39,103.66,104.26,104.26,0.00,0.00,0.00,0.00,0.00
old,sa,SEARCH,100000,100,50,0.000,118.28,118.15,123.10,126.56,126.56,18.28,18.15,23.10,26.56,26.56
old,sa,SEARCH,100000,1000,50,0.000,121.05,120.65,127.35,127.72,127.72,0.00,0.00,0.00,0.00,0.00
old,sa,SEARCH,100000,2000,50,0.000,119.46,119.82,126.94,127.73,127.73,0.00,0.00,0.00,0.00,0.00
old,sa,SEARCH,100000,50,50,0.000,119.81,119.06,127.30,152.39,152.39,69.81,69.06,77.30,102.39,102.39
old,sa,SEARCH,100000,500,50,0.000,120.07,119.85,127.19,128.36,128.36,0.00,0.00,0.00,0.00,0.00
old,sa,SEARCH,1000000,100,50,1.000,108.64,101.29,124.95,126.03,126.03,8.64,1.29,24.95,26.03,26.03
old,sa,SEARCH,1000000,1000,50,0.000,211.37,210.71,218.00,219.02,219.02,0.00,0.00,0.00,0.00,0.00
old,sa,SEARCH,1000000,2000,50,0.000,211.59,211.22,218.21,220.61,220.61,0.00,0.00,0.00,0.00,0.00
old,sa,SEARCH,1000000,50,50,1.000,51.14,51.13,51.58,51.68,51.68,1.14,1.13,1.58,1.68,1.68
old,sa,SEARCH,1000000,500,50,0.000,210.60,210.56,217.76,218.52,218.52,0.00,0.00,0.00,0.00,0.00
